date,n_obs_to_n_assets_ratio,low_sample_warning,ill_conditioned_warning,covariance_method,covariance_annualized,covariance_trading_days,covariance_fallback_used,covariance_fallback_method,covariance_failure_note,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_number,covariance_point_in_time,covariance_psd_repaired,covariance_jitter_added,covariance_min_eigenvalue_before_repair,covariance_eigenvalue_floor,covariance_relative_floor,covariance_psd_notes,covariance_observations,covariance_assets,covariance_ewma_halflife
2016-04-15,4.285714285714286,False,False,sample,True,243,False,,,2.7039992489346916e-06,0.6089084703890659,225188.1063313759,True,False,0.0,2.703999248806289e-06,6.08908470389066e-07,1e-06,symmetrized,60,14,
2016-04-22,4.642857142857143,False,False,sample,True,243,False,,,2.8506226750744805e-06,0.5925135752717842,207854.08761834924,True,False,0.0,2.850622675091528e-06,5.925135752717836e-07,1e-06,symmetrized,65,14,
2016-04-29,5.0,False,False,sample,True,243,False,,,2.6938524745095444e-06,0.5503439820921177,204296.25872230285,True,False,0.0,2.69385247454822e-06,5.503439820921175e-07,1e-06,symmetrized,70,14,
2016-05-06,5.285714285714286,False,False,sample,True,243,False,,,2.7099186062441454e-06,0.5299309499764637,195552.34934193463,True,False,0.0,2.7099186063002148e-06,5.299309499764639e-07,1e-06,symmetrized,74,14,
2016-05-13,5.642857142857143,False,False,sample,True,243,False,,,2.839397994755285e-06,0.5231964201180594,184263.1505285512,True,False,0.0,2.8393979947698123e-06,5.231964201180598e-07,1e-06,symmetrized,79,14,
2016-05-20,6.0,False,False,sample,True,243,False,,,2.701743894088512e-06,0.5006308822143519,185299.1629997742,True,False,0.0,2.701743894084575e-06,5.006308822143517e-07,1e-06,symmetrized,84,14,
2016-05-27,6.357142857142857,False,False,sample,True,243,False,,,2.7626398102302606e-06,0.4753594304379616,172067.10360057445,True,False,0.0,2.76263981017315e-06,4.7535943043796134e-07,1e-06,symmetrized,89,14,
2016-06-03,6.714285714285714,False,False,sample,True,243,False,,,2.6452161219125103e-06,0.46892323253111357,177272.18152295196,True,False,0.0,2.6452161218759884e-06,4.6892323253111345e-07,1e-06,symmetrized,94,14,
2016-06-08,6.928571428571429,False,False,sample,True,243,False,,,2.576288698954625e-06,0.45560220811349017,176844.39181771784,True,False,0.0,2.576288698846098e-06,4.5560220811349e-07,1e-06,symmetrized,97,14,
2016-06-17,7.285714285714286,False,False,sample,True,243,False,,,2.6651041670488675e-06,0.47045322998320704,176523.39289392615,True,False,0.0,2.6651041669675333e-06,4.70453229983207e-07,1e-06,symmetrized,102,14,
2016-06-24,7.642857142857143,False,False,sample,True,243,False,,,2.6134792390434894e-06,0.453075368709394,173360.99783796852,True,False,0.0,2.6134792390572647e-06,4.53075368709394e-07,1e-06,symmetrized,107,14,
2016-07-01,8.0,False,False,sample,True,243,False,,,3.014619123665753e-06,0.4411995327543298,146353.32513177808,True,False,0.0,3.0146191236110757e-06,4.4119953275432985e-07,1e-06,symmetrized,112,14,
2016-07-08,8.357142857142858,False,False,sample,True,243,False,,,2.996658633506486e-06,0.42531449022928225,141929.5763200122,True,False,0.0,2.9966586335094816e-06,4.2531449022928226e-07,1e-06,symmetrized,117,14,
2016-07-15,8.714285714285714,False,False,sample,True,243,False,,,2.920740731315418e-06,0.4123744209668589,141188.3008120126,True,False,0.0,2.9207407313721866e-06,4.12374420966859e-07,1e-06,symmetrized,122,14,
2016-07-22,9.071428571428571,False,False,sample,True,243,False,,,2.8439701582239066e-06,0.3966206202840271,139460.19058502407,True,False,0.0,2.8439701581538332e-06,3.9662062028402697e-07,1e-06,symmetrized,127,14,
2016-07-29,9.428571428571429,False,False,sample,True,243,False,,,2.8336052888091773e-06,0.3931946946387235,138761.27920553237,True,False,0.0,2.8336052888459182e-06,3.931946946387235e-07,1e-06,symmetrized,132,14,
2016-08-05,9.785714285714286,False,False,sample,True,243,False,,,2.748120089241487e-06,0.37982157748912904,138211.41913560414,True,False,0.0,2.748120089200523e-06,3.79821577489129e-07,1e-06,symmetrized,137,14,
2016-08-12,10.142857142857142,False,False,sample,True,243,False,,,2.6835285017413937e-06,0.3689874839875151,137500.86266945626,True,False,0.0,2.6835285017919688e-06,3.6898748398751505e-07,1e-06,symmetrized,142,14,
2016-08-19,10.5,False,False,sample,True,243,False,,,2.626415866060898e-06,0.3618521702024551,137774.13351723368,True,False,0.0,2.6264158659963e-06,3.6185217020245497e-07,1e-06,symmetrized,147,14,
2016-08-26,10.857142857142858,False,False,sample,True,243,False,,,2.6344725505129014e-06,0.35123634239941526,133323.2120148808,True,False,0.0,2.634472550431666e-06,3.5123634239941524e-07,1e-06,symmetrized,152,14,
2016-09-02,11.214285714285714,False,False,sample,True,243,False,,,2.5807129680141956e-06,0.3407037337341503,132019.22800283934,True,False,0.0,2.580712967980431e-06,3.407037337341503e-07,1e-06,symmetrized,157,14,
2016-09-09,11.571428571428571,False,False,sample,True,243,False,,,2.5109520806633894e-06,0.3322793495001452,132332.0154370917,True,False,0.0,2.510952080675934e-06,3.3227934950014535e-07,1e-06,symmetrized,162,14,
2016-09-14,11.785714285714286,False,False,sample,True,243,False,,,2.5023544510667763e-06,0.33412638215282797,133524.8018163002,True,False,0.0,2.5023544511355825e-06,3.3412638215282777e-07,1e-06,symmetrized,165,14,
2016-09-23,12.142857142857142,False,False,sample,True,243,False,,,2.6124963812778347e-06,0.3253528102421101,124537.1333616823,True,False,0.0,2.6124963812817133e-06,3.2535281024211e-07,1e-06,symmetrized,170,14,
2016-09-30,12.5,False,False,sample,True,243,False,,,2.566839993353311e-06,0.3196193090297397,124518.59479257611,True,False,0.0,2.5668399933247544e-06,3.1961930902974e-07,1e-06,symmetrized,175,14,
2016-10-14,12.857142857142858,False,False,sample,True,243,False,,,2.910596874336911e-06,0.31398359235074763,107876.01509476609,True,False,0.0,2.9105968743062948e-06,3.1398359235074773e-07,1e-06,symmetrized,180,14,
2016-10-21,13.214285714285714,False,False,sample,True,243,False,,,2.9386541238148817e-06,0.30712412050180976,104511.8300969389,True,False,0.0,2.9386541237972965e-06,3.0712412050180977e-07,1e-06,symmetrized,185,14,
2016-10-28,13.571428571428571,False,False,sample,True,243,False,,,2.8887343478596763e-06,0.29997956351964955,103844.63484567581,True,False,0.0,2.8887343478756344e-06,2.9997956351964965e-07,1e-06,symmetrized,190,14,
2016-11-04,13.928571428571429,False,False,sample,True,243,False,,,2.88873743717695e-06,0.2938722456795357,101730.34139327164,True,False,0.0,2.8887374371768483e-06,2.9387224567953553e-07,1e-06,symmetrized,195,14,
2016-11-11,3.8125,False,False,sample,True,243,False,,,2.1362589147661303e-06,0.16920724243094198,79207.27270526858,True,False,0.0,2.1362589147551913e-06,1.6920724243094193e-07,1e-06,symmetrized,61,16,
2016-11-18,4.125,False,False,sample,True,243,False,,,2.245375484963896e-06,0.16057191899915463,71512.27938241095,True,False,0.0,2.2453754849682185e-06,1.6057191899915457e-07,1e-06,symmetrized,66,16,
2016-11-25,4.4375,False,False,sample,True,243,False,,,2.326122711884161e-06,0.156549069560342,67300.43465055941,True,False,0.0,2.3261227118648198e-06,1.5654906956034201e-07,1e-06,symmetrized,71,16,
2016-12-02,4.75,False,False,sample,True,243,False,,,2.444004042276115e-06,0.15904583341028602,65075.928950659894,True,False,0.0,2.4440040422674344e-06,1.5904583341028593e-07,1e-06,symmetrized,76,16,
2016-12-09,5.0625,False,False,sample,True,243,False,,,2.472628708221096e-06,0.1565408937700421,63309.50265584501,True,False,0.0,2.472628708207781e-06,1.5654089377004197e-07,1e-06,symmetrized,81,16,
2016-12-16,5.375,False,False,sample,True,243,False,,,2.589941629489516e-06,0.15501662043203326,59853.32590780721,True,False,0.0,2.589941629499003e-06,1.550166204320333e-07,1e-06,symmetrized,86,16,
2016-12-23,5.6875,False,False,sample,True,243,False,,,3.0121956238141215e-06,0.15149656283363155,50294.39709556533,True,False,0.0,3.0121956238135e-06,1.5149656283363148e-07,1e-06,symmetrized,91,16,
2016-12-30,6.0,False,False,sample,True,243,False,,,3.717094485532262e-06,0.15118956921585663,40674.12593473726,True,False,0.0,3.7170944855400413e-06,1.511895692158566e-07,1e-06,symmetrized,96,16,
2017-01-06,6.25,False,False,sample,True,243,False,,,8.064623210075825e-06,0.14579584339751148,18078.444534811773,True,False,0.0,8.064623210105098e-06,1.4579584339751145e-07,1e-06,symmetrized,100,16,
2017-01-13,6.5625,False,False,sample,True,243,False,,,7.959734584759682e-06,0.14052646722900697,17654.667468192936,True,False,0.0,7.959734584786218e-06,1.4052646722900692e-07,1e-06,symmetrized,105,16,
2017-01-20,6.875,False,False,sample,True,243,False,,,8.211316077889314e-06,0.1377160544792544,16771.49596641197,True,False,0.0,8.211316077861053e-06,1.3771605447925452e-07,1e-06,symmetrized,110,16,
2017-01-26,7.125,False,False,sample,True,243,False,,,8.593922559525038e-06,0.13462446516535304,15665.077760811631,True,False,0.0,8.59392255950783e-06,1.3462446516535303e-07,1e-06,symmetrized,114,16,
2017-02-03,7.1875,False,False,sample,True,243,False,,,8.598546371430393e-06,0.1363042998747645,15852.016606859315,True,False,0.0,8.598546371414122e-06,1.3630429987476457e-07,1e-06,symmetrized,115,16,
2017-02-10,3.7058823529411766,False,False,sample,True,243,False,,,1.1063490307611126e-05,0.16170118091095545,14615.747509600398,True,False,0.0,1.1063490307610199e-05,1.617011809109555e-07,1e-06,symmetrized,63,17,
2017-02-17,4.0,False,False,sample,True,243,False,,,1.0607333550645226e-05,0.15078025204427642,14214.717706798681,True,False,0.0,1.0607333550644468e-05,1.5078025204427647e-07,1e-06,symmetrized,68,17,
2017-02-24,4.294117647058823,False,False,sample,True,243,False,,,1.0297975369248764e-05,0.14188353493354078,13777.808729007591,True,False,0.0,1.0297975369248157e-05,1.4188353493354067e-07,1e-06,symmetrized,73,17,
2017-03-03,4.588235294117647,False,False,sample,True,243,False,,,9.668298861294864e-06,0.14001476993618606,14481.841319232248,True,False,0.0,9.668298861281659e-06,1.4001476993618609e-07,1e-06,symmetrized,78,17,
2017-03-10,4.882352941176471,False,False,sample,True,243,False,,,9.243462099583217e-06,0.14201526685115062,15363.860999392642,True,False,0.0,9.243462099588652e-06,1.420152668511506e-07,1e-06,symmetrized,83,17,
2017-03-17,5.176470588235294,False,False,sample,True,243,False,,,1.0009834889799761e-05,0.13714484729370857,13701.009937083192,True,False,0.0,1.0009834889776747e-05,1.3714484729370854e-07,1e-06,symmetrized,88,17,
2017-03-24,5.470588235294118,False,False,sample,True,243,False,,,9.646939005570989e-06,0.1385094694011235,14357.867228261313,True,False,0.0,9.646939005559103e-06,1.3850946940112343e-07,1e-06,symmetrized,93,17,
2017-03-31,5.764705882352941,False,False,sample,True,243,False,,,9.244453274585983e-06,0.13427654218052917,14525.092852128977,True,False,0.0,9.24445327456864e-06,1.3427654218052918e-07,1e-06,symmetrized,98,17,
2017-04-07,5.9411764705882355,False,False,sample,True,243,False,,,9.631504324834332e-06,0.13271996214731027,13779.774962577629,True,False,0.0,9.631504324813298e-06,1.327199621473102e-07,1e-06,symmetrized,101,17,
2017-04-14,6.235294117647059,False,False,sample,True,243,False,,,1.0256976040139166e-05,0.12716928269886202,12398.321123224208,True,False,0.0,1.0256976040144452e-05,1.2716928269886188e-07,1e-06,symmetrized,106,17,
2017-04-21,6.529411764705882,False,False,sample,True,243,False,,,9.874434000100271e-06,0.12847944327410257,13011.322296832193,True,False,0.0,9.874434000091655e-06,1.284794432741026e-07,1e-06,symmetrized,111,17,
2017-04-28,6.823529411764706,False,False,sample,True,243,False,,,9.579506840499249e-06,0.12521972775275436,13071.625694066352,True,False,0.0,9.579506840486308e-06,1.2521972775275436e-07,1e-06,symmetrized,116,17,
